Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Aaron,Ramsdale,ENG,Goalkeeper,Sheff. United,23,13,0,0,0,0,0,0
Sam,Johnstone,ENG,Goalkeeper,West Brom,28,23,0,0,0,0,0,0
Kyle,Walker,ENG,Defender,Man. City,31,2,1,90,0,0,0,0
Luke,Shaw,ENG,Defender,Man. United,25,3,0,0,0,0,0,0
John,Stones,ENG,Defender,Man. City,27,5,1,90,0,0,0,0
Harry,Maguire,ENG,Defender,Man. United,28,6,0,0,0,0,0,0
Kieran,Trippier,ENG,Defender,Atlético,30,12,1,90,0,0,0,0
Tyrone,Mings,ENG,Defender,Aston Villa,28,15,1,90,0,0,0,0
Conor,Coady,ENG,Defender,Wolves,28,16,0,0,0,0,0,0
Ben,Chilwell,ENG,Defender,Chelsea,24,21,0,0,0,0,0,0
Ben,White,ENG,Defender,Brighton,23,22,0,0,0,0,0,0
Reece,James,ENG,Defender,Chelsea,21,24,0,0,0,0,0,0
Declan,Rice,ENG,Midfielder,West Ham,22,4,1,90,0,0,0,0
Jack,Grealish,ENG,Midfielder,Aston Villa,25,7,0,0,0,0,0,0
Jordan,Henderson,ENG,Midfielder,Liverpool,30,8,0,0,0,0,0,0
Kalvin,Phillips,ENG,Midfielder,Leeds,25,14,1,90,0,0,0,0
Jadon,Sancho,ENG,Midfielder,Dortmund,21,17,0,0,0,0,0,0
Mason,Mount,ENG,Midfielder,Chelsea,22,19,1,90,0,0,0,0
Phil,Foden,ENG,Midfielder,Man. City,21,20,1,71,0,0,1,0
Bukayo,Saka,ENG,Midfielder,Arsenal,19,25,0,0,0,0,0,0
Jude,Bellingham,ENG,Midfielder,Dortmund,17,26,1,8,0,0,0,0
Harry,Kane,ENG,Forward,Tottenham,27,9,1,82,0,0,0,0
Raheem,Sterling,ENG,Forward,Man. City,26,10,1,89,1,0,0,0
Marcus,Rashford,ENG,Forward,Man. United,23,11,1,19,0,0,0,0
Dominic,Calvert-Lewin,ENG,Forward,Everton,24,18,1,1,0,0,0,0
Lukas,Hradecky,FIN,Goalkeeper,Leverkusen,31,1,2,180,0,8,0,0
Jesse,Joronen,FIN,Goalkeeper,Brescia,28,12,0,0,0,0,0,0
Anssi,Jaakkola,FIN,Goalkeeper,Bristol Rovers,34,23,0,0,0,0,0,0
Paulus,Arajuuri,FIN,Defender,Pafos,33,2,2,180,0,0,0,0
Daniel,O'Shaughnessy,FIN,Defender,HJK,26,3,2,180,0,0,1,0
Joona,Toivio,FIN,Defender,Häcken,33,4,2,175,0,0,0,0
Leo,Väisänen,FIN,Defender,Elfsborg,23,5,1,1,0,0,0,0
Nicholas,Hämäläinen,FIN,Defender,QPR,24,15,0,0,0,0,0,0
Thomas,Lam,FIN,Defender,Zwolle,27,16,0,0,0,0,0,0
Jere,Uronen,FIN,Defender,Genk,26,18,2,180,0,0,0,0
Jukka,Raitala,FIN,Defender,Minnesota,32,22,2,164,0,0,0,0
Robert,Ivanov,FIN,Defender,Warta Poznan,26,25,0,0,0,0,0,0
Glen,Kamara,FIN,Midfielder,Rangers,25,6,2,180,0,0,1,0
Robert,Taylor,FIN,Midfielder,Brann,26,7,0,0,0,0,0,0
Robin,Lod,FIN,Midfielder,Minnesota,28,8,2,180,0,0,1,0
Fredrik,Jensen,FIN,Midfielder,Augsburg,23,9,1,5,0,0,0,0
Rasmus,Schüller,FIN,Midfielder,Djurgården,29,11,2,81,0,0,0,0
Pyry,Soiri,FIN,Midfielder,Esbjerg,26,13,1,15,0,0,0,0
Tim,Sparv,FIN,Midfielder,Larissa,34,14,1,76,0,0,1,0
Nikolai,Alho,FIN,Midfielder,MTK,28,17,0,0,0,0,0,0
Joni,Kauko,FIN,Midfielder,Esbjerg,30,19,2,37,0,0,0,0
Onni,Valakari,FIN,Midfielder,Pafos,21,24,0,0,0,0,0,0
