Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Sanches,Renato,POR,Midfielder,LOSC,23,16,1,9,0,0,0,0
Guedes,Gonçalo,POR,Midfielder,Valencia,24,17,0,0,0,0,0,0
Neves,Rúben,POR,Midfielder,Wolves,24,18,0,0,0,0,0,0
Gonçalves,Pedro,POR,Midfielder,Sporting CP,22,19,0,0,0,0,0,0
Oliveira,Sérgio,POR,Midfielder,Porto,29,24,0,0,0,0,0,0
Palhinha,João,POR,Midfielder,Sporting CP,25,26,0,0,0,0,0,0
Cristiano,Ronaldo,POR,Forward,Juventus,36,7,1,90,2,0,0,0
Silva,André,POR,Forward,Frankfurt,25,9,1,9,0,0,0,0
Silva,Rafa,POR,Forward,Benfica,28,15,1,19,0,0,0,0
Jota,Diogo,POR,Forward,Liverpool,24,21,1,81,0,0,0,0
Félix,João,POR,Forward,Atlético,21,23,0,0,0,0,0,0
Anton,Shunin,RUS,Goalkeeper,Dynamo Moscow,34,1,1,90,0,1,0,0
Yuri,Dyupin,RUS,Goalkeeper,Rubin,33,12,0,0,0,0,0,0
Matvei,Safonov,RUS,Goalkeeper,Krasnodar,22,16,1,90,0,1,0,0
Fernandes,Mário,RUS,Defender,CSKA Moskva,30,2,2,116,0,0,0,0
Igor,Diveev,RUS,Defender,CSKA Moskva,21,3,2,135,0,0,0,0
Vyacheslav,Karavaev,RUS,Defender,Zenit,26,4,2,111,0,0,0,0
Andrei,Semenov,RUS,Defender,Akhmat,32,5,1,90,0,0,0,0
Fedor,Kudryashov,RUS,Defender,Antalyaspor,34,13,0,0,0,0,0,0
Georgi,Dzhikiya,RUS,Defender,Spartak Moskva,27,14,2,180,0,0,1,0
Roman,Evgenyev,RUS,Defender,Dynamo Moscow,22,24,0,0,0,0,0,0
Denis,Cheryshev,RUS,Midfielder,Valencia,30,6,1,34,0,0,0,0
Magomed,Ozdoev,RUS,Midfielder,Zenit,28,7,2,151,0,0,1,0
Dmitri,Barinov,RUS,Midfielder,Lokomotiv Moskva,24,8,2,135,0,0,1,0
Roman,Zobnin,RUS,Midfielder,Spartak Moskva,27,11,2,153,0,0,0,0
Aleksei,Miranchuk,RUS,Midfielder,Atalanta,25,15,2,112,1,0,0,0
Aleksandr,Golovin,RUS,Midfielder,Monaco,25,17,2,180,0,0,0,0
Yuri,Zhirkov,RUS,Midfielder,Zenit,37,18,1,43,0,0,0,0
Rifat,Zhemaletdinov,RUS,Midfielder,Lokomotiv Moskva,24,19,1,29,0,0,0,0
Aleksei,Ionov,RUS,Midfielder,Krasnodar,32,20,0,0,0,0,0,0
Daniil,Fomin,RUS,Midfielder,Dynamo Moscow,24,21,0,0,0,0,0,0
Daler,Kuzyaev,RUS,Midfielder,Zenit,28,23,2,119,0,0,0,0
Denis,Makarov,RUS,Midfielder,Rubin,23,25,0,0,0,0,0,0
Maksim,Mukhin,RUS,Midfielder,Lokomotiv Moskva,19,26,2,32,0,0,0,0
Aleksandr,Sobolev,RUS,Forward,Spartak Moskva,24,9,1,6,0,0,0,0
Anton,Zabolotny,RUS,Forward,Sochi,30,10,0,0,0,0,0,0
Artem,Dzyuba,RUS,Forward,Zenit,32,22,2,175,0,0,0,0
David,Marshall,SCO,Goalkeeper,Derby,36,1,1,90,0,5,0,0
Craig,Gordon,SCO,Goalkeeper,Hearts,38,12,0,0,0,0,0,0
Jon,McLaughlin,SCO,Goalkeeper,Rangers,33,21,0,0,0,0,0,0
Stephen,O'Donnell,SCO,Defender,Motherwell,29,2,1,79,0,0,0,0
Andrew,Robertson,SCO,Defender,Liverpool,27,3,1,90,0,0,0,0
Grant,Hanley,SCO,Defender,Norwich,29,5,1,90,0,0,0,0
Kieran,Tierney,SCO,Defender,Arsenal,24,6,0,0,0,0,0,0
Greg,Taylor,SCO,Defender,Celtic,23,13,0,0,0,0,0,0
Declan,Gallagher,SCO,Defender,Motherwell,30,15,0,0,0,0,0,0
Liam,Cooper,SCO,Defender,Leeds,29,16,1,90,0,0,0,0
Nathan,Patterson,SCO,Defender,Rangers,19,22,0,0,0,0,0,0
Jack,Hendry,SCO,Defender,Celtic,26,24,1,67,0,0,0,0
Scott,McKenna,SCO,Defender,Nottm Forest,24,26,0,0,0,0,0,0
Scott,McTominay,SCO,Midfielder,Man. United,24,4,1,90,0,0,0,0
John,McGinn,SCO,Midfielder,Aston Villa,26,7,1,90,0,0,0,0
Callum,McGregor,SCO,Midfielder,Celtic,28,8,1,23,0,0,0,0
Ryan,Christie,SCO,Midfielder,Celtic,26,11,1,45,0,0,0,0
John,Fleck,SCO,Midfielder,Sheff. United,29,14,0,0,0,0,0,0
Stuart,Armstrong,SCO,Midfielder,Southampton,29,17,1,67,0,0,0,0
David,Turnbull,SCO,Midfielder,Celtic,21,18,0,0,0,0,0,0
Ryan,Fraser,SCO,Midfielder,Newcastle,27,20,1,23,0,0,0,0
Billy,Gilmour,SCO,Midfielder,Chelsea,20,23,0,0,0,0,0,0
James,Forrest,SCO,Midfielder,Celtic,29,25,1,11,0,0,0,0
Lyndon,Dykes,SCO,Forward,QPR,25,9,1,79,0,0,0,0
Ché,Adams,SCO,Forward,Southampton,24,10,1,45,0,0,0,0
Kevin,Nisbet,SCO,Forward,Hibernian,24,19,1,11,0,0,0,0
Martin,Dúbravka,SVK,Goalkeeper,Newcastle,32,1,1,90,0,2,0,0
Dušan,Kuciak,SVK,Goalkeeper,Lechia,36,12,0,0,0,0,0,0
Marek,Rodák,SVK,Goalkeeper,Fulham,24,23,0,0,0,0,0,0
Peter,Pekarík,SVK,Defender,Hertha,34,2,1,79,0,0,0,0
Denis,Vavro,SVK,Defender,Lazio,25,3,0,0,0,0,0,0
Martin,Valjent,SVK,Defender,Mallorca,25,4,0,0,0,0,0,0
Ľubomír,Šatka,SVK,Defender,Lech,25,5,1,90,0,0,0,0
Milan,Škriniar,SVK,Defender,Internazionale,26,14,1,90,1,0,0,0
Tomáš,Hubočan,SVK,Defender,Omonoia,35,15,1,90,0,0,1,0
Dávid,Hancko,SVK,Defender,Sparta Praha,23,16,0,0,0,0,0,0
Martin,Koscelník,SVK,Defender,Liberec,26,24,1,11,0,0,0,0
Ján,Greguš,SVK,Midfielder,Minnesota,30,6,1,1,0,0,0,0
Vladimír,Weiss,SVK,Midfielder,Slovan Bratislava,31,7,0,0,0,0,0,0
Ondrej,Duda,SVK,Midfielder,Köln,26,8,1,89,0,0,0,0
Tomáš,Suslov,SVK,Midfielder,Groningen,19,10,1,3,0,0,0,0
László,Bénes,SVK,Midfielder,Mönchengladbach,23,11,0,0,0,0,0,0
Patrik,Hrošovský,SVK,Midfielder,Genk,29,13,1,11,0,0,0,0
Marek,Hamšík,SVK,Midfielder,Göteborg,33,17,1,90,0,0,0,0
Lukáš,Haraslín,SVK,Midfielder,Sassuolo,25,18,1,87,0,0,0,0
Juraj,Kucka,SVK,Midfielder,Parma,34,19,1,90,0,0,0,0
Stanislav,Lobotka,SVK,Midfielder,Napoli,26,22,0,0,0,0,0,0
Jakub,Hromada,SVK,Midfielder,Slavia Praha,25,25,1,79,0,0,0,0
Róbert,Boženík,SVK,Forward,Feyenoord,21,9,0,0,0,0,0,0
Róbert,Mak,SVK,Forward,Ferencváros,30,20,1,87,0,0,0,0
Michal,Ďuriš,SVK,Forward,Omonoia,33,21,1,3,0,0,0,0
Ivan,Schranz,SVK,Forward,Jablonec,27,26,0,0,0,0,0,0
David,de Gea,ESP,Goalkeeper,Man. United,30,1,0,0,0,0,0,0
Robert,Sánchez,ESP,Goalkeeper,Brighton,23,13,0,0,0,0,0,0
Simón,Unai,ESP,Goalkeeper,Athletic Club,24,23,1,90,0,0,0,0
César,Azpilicueta,ESP,Defender,Chelsea,31,2,0,0,0,0,0,0
Llorente,Diego,ESP,Defender,Leeds,27,3,0,0,0,0,0,0
Torres,Pau,ESP,Defender,Villarreal,24,4,1,90,0,0,0,0
García,Eric,ESP,Defender,Man. City,20,12,0,0,0,0,0,0
José,Gayà,ESP,Defender,Valencia,26,14,0,0,0,0,0,0
Alba,Jordi,ESP,Defender,Barcelona,32,18,1,90,0,0,0,0
Aymeric,Laporte,ESP,Defender,Man. City,27,24,1,90,0,0,0,0
Busquets,Sergio,ESP,Midfielder,Barcelona,32,5,0,0,0,0,0,0
Llorente,Marcos,ESP,Midfielder,Atlético,26,6,1,90,0,0,0,0
Koke,Koke,ESP,Midfielder,Atlético,29,8,1,87,0,0,0,0
Alcántara,Thiago,ESP,Midfielder,Liverpool,30,10,1,24,0,0,0,0
Torres,Ferran,ESP,Midfielder,Man. City,21,11,1,74,0,0,0,0
Rodri,Rodri,ESP,Midfielder,Man. City,24,16,1,66,0,0,0,0
Ruiz,Fabián,ESP,Midfielder,Napoli,25,17,1,3,0,0,0,0
Dani,Olmo,ESP,Midfielder,Leipzig,23,19,1,74,0,0,0,0
Adama,Traoré,ESP,Midfielder,Wolves,25,20,0,0,0,0,0,0
Pablo,Sarabia,ESP,Midfielder,Paris,29,22,1,24,0,0,0,0
Álvaro,Morata,ESP,Forward,Atlético,28,7,1,66,0,0,0,0
Moreno,Gerard,ESP,Forward,Villarreal,29,9,1,16,0,0,0,0
Mikel,Oyarzabal,ESP,Forward,Real Sociedad,24,21,1,16,0,0,0,0
Pedri,Pedri,ESP,Forward,Barcelona,18,26,1,90,0,0,0,0
Robin,Olsen,SWE,Goalkeeper,Roma,31,1,1,90,0,5,0,0
Karl-Johan,Johnsson,SWE,Goalkeeper,Copenhagen,31,12,0,0,0,0,0,0
Kristoffer,Nordfeldt,SWE,Goalkeeper,Gençlerbirliği,31,23,0,0,0,0,0,0
Mikael,Lustig,SWE,Defender,AIK,34,2,1,75,0,0,1,0
Victor,Lindelöf,SWE,Defender,Man. United,26,3,1,90,0,0,0,0
Andreas,Granqvist,SWE,Defender,Helsingborg,36,4,0,0,0,0,0,0
Pierre,Bengtsson,SWE,Defender,Copenhagen,33,5,1,6,0,0,0,0
Ludwig,Augustinsson,SWE,Defender,Bremen,27,6,1,90,0,0,0,0
Filip,Helander,SWE,Defender,Rangers,28,14,0,0,0,0,0,0
Emil,Krafth,SWE,Defender,Newcastle,26,16,1,15,0,0,0,0
Pontus,Jansson,SWE,Defender,Brentford,30,18,0,0,0,0,0,0
Marcus,Danielson,SWE,Defender,Dalian Pro,32,24,1,90,0,0,0,0
Sebastian,Larsson,SWE,Midfielder,AIK,36,7,1,90,0,0,0,0
Albin,Ekdal,SWE,Midfielder,Sampdoria,31,8,1,90,0,0,0,0
Emil,Forsberg,SWE,Midfielder,Leipzig,29,10,1,84,0,0,0,0
Gustav,Svensson,SWE,Midfielder,Guangzhou,34,13,0,0,0,0,0,0
Ken,Sema,SWE,Midfielder,Watford,27,15,0,0,0,0,0,0
Viktor,Claesson,SWE,Midfielder,Krasnodar,29,17,1,21,0,0,0,0
Mattias,Svanberg,SWE,Midfielder,Bologna,22,19,0,0,0,0,0,0
Kristoffer,Olsson,SWE,Midfielder,Krasnodar,25,20,1,84,0,0,0,0
Dejan,Kulusevski,SWE,Midfielder,Juventus,21,21,0,0,0,0,0,0
Robin,Quaison,SWE,Midfielder,Mainz,27,22,1,21,0,0,0,0
Jens-Lys,Cajuste,SWE,Midfielder,Midtjylland,21,26,1,6,0,0,0,0
Marcus,Berg,SWE,Forward,Krasnodar,34,9,1,69,0,0,0,0
Alexander,Isak,SWE,Forward,Real Sociedad,21,11,1,69,0,0,0,0
Jordan,Larsson,SWE,Forward,Spartak Moskva,23,25,0,0,0,0,0,0
Yann,Sommer,SUI,Goalkeeper,Mönchengladbach,32,1,2,180,0,1,0,0
Yvon,Mvogo,SUI,Goalkeeper,PSV,27,12,0,0,0,0,0,0
Gregor,Kobel,SUI,Goalkeeper,Stuttgart,23,21,0,0,0,0,0,0
Kevin,Mbabu,SUI,Defender,Wolfsburg,26,2,2,148,0,0,1,0
Silvan,Widmer,SUI,Defender,Basel,28,3,1,32,0,0,0,0
Nico,Elvedi,SUI,Defender,Mönchengladbach,24,4,2,180,0,0,0,0
Manuel,Akanji,SUI,Defender,Dortmund,25,5,2,180,0,0,0,0
Ricardo,Rodríguez,SUI,Defender,Torino,28,13,2,180,0,0,0,0
Loris,Benito,SUI,Defender,Bordeaux,29,17,0,0,0,0,0,0
Fabian,Schär,SUI,Defender,Newcastle,29,22,2,147,0,0,1,0
Becir,Omeragic,SUI,Defender,Zürich,19,24,0,0,0,0,0,0
Eray,Cömert,SUI,Defender,Basel,23,25,0,0,0,0,0,0
Jordan,Lotomba,SUI,Defender,Nice,22,26,0,0,0,0,0,0
Denis,Zakaria,SUI,Midfielder,Mönchengladbach,24,6,1,24,0,0,0,0
Remo,Freuler,SUI,Midfielder,Atalanta,29,8,2,174,0,0,0,0
Granit,Xhaka,SUI,Midfielder,Arsenal,28,10,2,180,0,0,0,0
Ruben,Vargas,SUI,Midfielder,Augsburg,22,11,1,14,0,0,0,0
Steven,Zuber,SUI,Midfielder,Frankfurt,29,14,1,33,0,0,0,0
Djibril,Sow,SUI,Midfielder,Frankfurt,24,15,1,6,0,0,0,0
Christian,Fassnacht,SUI,Midfielder,Young Boys,27,16,0,0,0,0,0,0
Edimilson,Fernandes,SUI,Midfielder,Mainz,25,20,0,0,0,0,0,0
Xherdan,Shaqiri,SUI,Midfielder,Liverpool,29,23,2,142,0,0,0,0
Breel,Embolo,SUI,Forward,Mönchengladbach,24,7,2,180,1,0,1,0
Haris,Seferović,SUI,Forward,Benfica,29,9,2,129,0,0,0,0
Admir,Mehmedi,SUI,Forward,Wolfsburg,30,18,0,0,0,0,0,0
Mario,Gavranović,SUI,Forward,Dinamo Zagreb,31,19,2,51,0,0,1,0
Günok,Mert,TUR,Goalkeeper,İstanbul Başakşehir,32,1,0,0,0,0,0,0
Bayındır,Altay,TUR,Goalkeeper,Fenerbahçe,23,12,0,0,0,0,0,0
Çakır,Uğurcan,TUR,Goalkeeper,Trabzonspor,25,23,2,180,0,11,0,0
Çelik,Zeki,TUR,Defender,LOSC,24,2,2,180,0,0,0,0
Demiral,Merih,TUR,Defender,Juventus,23,3,2,135,0,0,0,0
Söyüncü,Çağlar,TUR,Defender,Leicester,25,4,2,180,0,0,1,0
Meraş,Umut,TUR,Defender,Le Havre,25,13,2,162,0,0,0,0
Kabak,Ozan,TUR,Defender,Schalke,21,15,0,0,0,0,0,0
Yılmaz,Rıdvan,TUR,Defender,Beşiktaş,20,18,0,0,0,0,0,0
Ayhan,Kaan,TUR,Defender,Sassuolo,26,22,2,116,0,0,0,0
Müldür,Mert,TUR,Defender,Sassuolo,22,25,1,18,0,0,0,0
Yokuşlu,Okay,TUR,Midfielder,Celta,27,5,2,110,0,0,0,0
Tufan,Ozan,TUR,Midfielder,Fenerbahçe,26,6,2,109,0,0,0,0
Toköz,Dorukhan,TUR,Midfielder,Beşiktaş,25,8,0,0,0,0,0,0
Çalhanoğlu,Hakan,TUR,Midfielder,Milan,27,10,2,180,0,0,1,0
Antalyalı,Taylan,TUR,Midfielder,Galatasaray,26,14,0,0,0,0,0,0
Kökçü,Orkun,TUR,Midfielder,Feyenoord,20,19,0,0,0,0,0,0
Ömür,Abdülkadir,TUR,Midfielder,Trabzonspor,21,20,0,0,0,0,0,0
İrfan Can Kahveci,İrfan Can Kahveci,TUR,Midfielder,Fenerbahçe,25,21,2,32,0,0,0,0
Aktürkoğlu,Kerem,TUR,Midfielder,Galatasaray,22,24,0,0,0,0,0,0
Dervişoğlu,Halil,TUR,Midfielder,Brentford,21,26,2,29,0,0,1,0
Ünder,Cengiz,TUR,Forward,Roma,23,7,2,128,0,0,0,0
Karaman,Kenan,TUR,Forward,Düsseldorf,27,9,2,151,0,0,0,0
Yazıcı,Yusuf,TUR,Forward,LOSC,24,11,2,90,0,0,0,0
Ünal,Enes,TUR,Forward,Getafe,24,16,0,0,0,0,0,0
Yılmaz,Burak,TUR,Forward,LOSC,35,17,2,180,0,0,1,0
Georgiy,Bushchan,UKR,Goalkeeper,Dynamo Kyiv,27,1,1,90,0,4,0,0
Andriy,Pyatov,UKR,Goalkeeper,Shakhtar Donetsk,36,12,0,0,0,0,0,0
Anatolii,Trubin,UKR,Goalkeeper,Shakhtar Donetsk,19,23,0,0,0,0,0,0
Eduard,Sobol,UKR,Defender,Club Brugge,26,2,0,0,0,0,0,0
Serhiy,Kryvtsov,UKR,Defender,Shakhtar Donetsk,30,4,0,0,0,0,0,0
Illia,Zabarnyi,UKR,Defender,Dynamo Kyiv,18,13,1,90,0,0,0,0
Vitaliy,Mykolenko,UKR,Defender,Dynamo Kyiv,22,16,1,90,0,0,0,0
Oleksandr,Zinchenko,UKR,Defender,Man. City,24,17,1,90,0,0,0,0
Oleksandr,Karavaev,UKR,Defender,Dynamo Kyiv,29,21,1,90,0,0,0,0
Mykola,Matviyenko,UKR,Defender,Shakhtar Donetsk,25,22,1,90,0,0,0,0
Oleksandr,Tymchyk,UKR,Defender,Dynamo Kyiv,24,24,0,0,0,0,0,0
Denys,Popov,UKR,Defender,Dynamo Kyiv,22,25,0,0,0,0,0,0
Georgiy,Sudakov,UKR,Midfielder,Shakhtar Donetsk,18,3,0,0,0,0,0,0
Serhiy,Sydorchuk,UKR,Midfielder,Dynamo Kyiv,30,5,1,90,0,0,1,0
Taras,Stepanenko,UKR,Midfielder,Shakhtar Donetsk,31,6,0,0,0,0,0,0
Ruslan,Malinovskyi,UKR,Midfielder,Atalanta,28,8,1,90,0,0,0,0
Mykola,Shaparenko,UKR,Midfielder,Dynamo Kyiv,22,10,1,26,0,0,0,0
Marlos,Marlos,UKR,Midfielder,Shakhtar Donetsk,33,11,1,51,0,0,0,0
Yevhen,Makarenko,UKR,Midfielder,Kortrijk,30,14,0,0,0,0,0,0
Viktor,Tsygankov,UKR,Midfielder,Dynamo Kyiv,23,15,0,0,0,0,0,0
Roman,Bezus,UKR,Midfielder,Gent,30,18,0,0,0,0,0,0
Andriy,Yarmolenko,UKR,Forward,West Ham,31,7,1,90,1,0,0,0
Roman,Yaremchuk,UKR,Forward,Gent,25,9,1,90,1,0,0,0
Artem,Besedin,UKR,Forward,Dynamo Kyiv,25,19,0,0,0,0,0,0
Oleksandr,Zubkov,UKR,Forward,Ferencváros,24,20,1,13,0,0,0,0
Artem,Dovbyk,UKR,Forward,Dnipro-1,23,26,0,0,0,0,0,0
Wayne,Hennessey,WAL,Goalkeeper,Crystal Palace,34,1,0,0,0,0,0,0
Danny,Ward,WAL,Goalkeeper,Leicester,27,12,2,180,0,8,0,0
Adam,Davies,WAL,Goalkeeper,Stoke,28,21,0,0,0,0,0,0
Chris,Gunter,WAL,Defender,Charlton,31,2,0,0,0,0,0,0
Neco,Williams,WAL,Defender,Liverpool,20,3,1,1,0,0,0,0
Ben,Davies,WAL,Defender,Tottenham,28,4,2,180,0,0,1,0
Tom,Lockyer,WAL,Defender,Luton,26,5,0,0,0,0,0,0
Joe,Rodon,WAL,Defender,Tottenham,23,6,2,180,0,0,0,0
Connor,Roberts,WAL,Defender,Swansea,25,14,2,180,1,0,0,0
Ethan,Ampadu,WAL,Defender,Chelsea,20,15,2,18,0,0,0,0
Rhys,Norrington-Davies,WAL,Defender,Sheff. United,22,17,0,0,0,0,0,0
Chris,Mepham,WAL,Defender,Bournemouth,23,22,2,180,0,0,1,0
Ben,Cabango,WAL,Defender,Swansea,21,24,0,0,0,0,0,0
Joe,Allen,WAL,Midfielder,Stoke,31,7,2,163,0,0,0,0
Harry,Wilson,WAL,Midfielder,Liverpool,24,8,1,5,0,0,0,0
Aaron,Ramsey,WAL,Midfielder,Juventus,30,10,2,174,1,0,0,0
Joe,Morrell,WAL,Midfielder,Luton,24,16,2,180,0,0,0,0
Jonny,Williams,WAL,Midfielder,Cardiff,27,18,0,0,0,0,0,0
David,Brooks,WAL,Midfielder,Bournemouth,23,19,1,15,0,0,0,0
Daniel,James,WAL,Midfielder,Man. United,23,20,2,164,0,0,0,0
Dylan,Levitt,WAL,Midfielder,Man. United,20,23,0,0,0,0,0,0
Rubin,Colwill,WAL,Midfielder,Cardiff,19,25,0,0,0,0,0,0
Matthew,Smith,WAL,Midfielder,Man. City,21,26,0,0,0,0,0,0
Tyler,Roberts,WAL,Forward,Leeds,22,9,0,0,0,0,0,0
Gareth,Bale,WAL,Forward,Real Madrid,31,11,2,180,0,0,0,0
Kieffer,Moore,WAL,Forward,Cardiff,28,13,2,180,1,0,1,0
