Name,Country,Position,Age,Games Played,Goals
Burak Yılmaz,Turkey,Forward,35,2,0
Georgiy Bushcha,Ukraine,Goalkeeper,27,1,3
Andriy Pyatov,Ukraine,Goalkeeper,36,0,0
Anatolii Trubin,Ukraine,Goalkeeper,19,0,0
Eduard Sobo,Ukraine,Defender,26,0,0
Serhiy Kryvtso,Ukraine,Defender,30,0,0
Illia Zabarnyi,Ukraine,Defender,18,1,0
Vitaliy Mykolenko,Ukraine,Defender,22,1,0
Oleksandr Zinchenko,Ukraine,Defender,24,1,0
Oleksandr Karavaev,Ukraine,Defender,29,1,0
Mykola Matviyenko,Ukraine,Defender,25,1,0
Oleksandr Tymchyk,Ukraine,Defender,24,0,0
Denys Popov,Ukraine,Defender,22,0,0
Georgiy Sudako,Ukraine,Midfielder,18,0,0
Serhiy Sydorchu,Ukraine,Midfielder,30,1,0
Taras Stepanenk,Ukraine,Midfielder,31,0,0
Ruslan Malinovsky,Ukraine,Midfielder,28,1,0
Mykola Shaparenko,Ukraine,Midfielder,22,1,0
Marlos,Ukraine,Midfielder,33,1,0
Yevhen Makarenko,Ukraine,Midfielder,30,0,0
Viktor Tsygankov,Ukraine,Midfielder,23,0,0
Roman Bezus,Ukraine,Midfielder,30,0,0
Andriy Yarmolenk,Ukraine,Forward,31,1,1
Roman Yaremchu,Ukraine,Forward,25,1,1
Artem Besedin,Ukraine,Forward,25,0,0
Oleksandr Zubkov,Ukraine,Forward,24,1,0
Artem Dovbyk,Ukraine,Forward,23,0,0
Wayne Hennesse,Wales,Goalkeeper,34,0,0
Danny Ward,Wales,Goalkeeper,27,2,1
Adam Davies,Wales,Goalkeeper,28,0,0
Chris Gunte,Wales,Defender,31,0,0
Neco William,Wales,Defender,20,1,0
Ben Davie,Wales,Defender,28,2,0
Tom Lockye,Wales,Defender,26,0,0
Joe Rodo,Wales,Defender,23,2,0
Connor Roberts,Wales,Defender,25,2,1
Ethan Ampadu,Wales,Defender,20,2,0
Rhys Norrington-Davies,Wales,Defender,22,0,0
Chris Mepham,Wales,Defender,23,2,0
Ben Cabango,Wales,Defender,21,0,0
Joe Alle,Wales,Midfielder,31,2,0
Harry Wilso,Wales,Midfielder,24,1,0
Aaron Ramsey,Wales,Midfielder,30,2,1
Joe Morrell,Wales,Midfielder,24,2,0
Jonny Williams,Wales,Midfielder,27,0,0
David Brooks,Wales,Midfielder,23,1,0
Daniel James,Wales,Midfielder,23,2,0
Dylan Levitt,Wales,Midfielder,20,0,0
Rubin Colwill,Wales,Midfielder,19,0,0
Matthew Smith,Wales,Midfielder,21,0,0
Tyler Robert,Wales,Forward,22,0,0
Gareth Bale,Wales,Forward,31,2,0
Kieffer Moore,Wales,Forward,28,2,1
